book_title,book_author,book_translator,book_pub_date,book_isbn
"IT CookBook, 쉽게 배우는 알고리즘 : 관계 중심의 사고법",문병로 ,,2013-07-02,9788998756406
사전처럼 바로 찾아 쓰는 알고리즘,"조지 T. 하인만 , 게리 폴리케 , 스탠리 셀코 ",전경원 ,2010-03-08,9788979147292
AngularJS 기초편 : MVC 패턴을 구현하는 자바스크립트 프레임워크,"브래드 그린 , 샤이엄 세샤드리 ",김지원 ,2013-07-31,9788968486418
학교에서 알려주지 않는 17가지 실무 개발 기술,이기곤 ,,2020-04-16,9791162242988
"(꼬마해커의 작업실, 수프) 스크래치 알고리즘 : 초등학생도 볼 수 있는 가장 쉬운 알고리즘",김종훈 ,,2014-11-12,9788968481390
드루팔(Drupal) : 프로그래머를 위한 가이드,제니퍼 하지던 ,김지원 ,2013-04-30,9788968486081
"BACK TO THE BASIC, C++ 버그 헌팅: 버그를 예방하는 11가지 코딩 습관",블라디미르 쿠스퀴니르 ,정원천 ,2013-05-31,9788968486357
"모던 웹을 위한 Node.js 프로그래밍(개정판) : 페이스북, 월마트, 링크드인이 선택한 자바스크립트 + 노드제이에스 서버 프로그래밍",윤인성 ,,2013-09-03,9788968480430
"IT CookBook, 쉽게 배우는 유전 알고리즘 : 진화적 접근법",문병로 ,,2014-09-02,9791156641353
Head First JavaScript Programming : 게임과 퍼즐로 배우는 자바스크립트 입문서,"에릭 프리먼 , 엘리자베스 롭슨 ",강권학 ,2015-01-27,9788968481567
만들면서 배우는 인터프리터: 컴파일러 이론으로 만드는 나만의 스크립트 언어,하야시 하루히코 ,김성재 ,2012-10-12,9788979149043
더글라스 크락포드의 자바스크립트 핵심 가이드,더글라스 크락포드(Douglas Crockford) ,김명신 ,2008-09-26,9788979145984
"IT CookBook, PHP 프로그래밍 for Beginner","박대혁 , 강의선 ",,2009-07-08,9788979146318
"IT CookBook, 쉽게 배우는 알고리즘(개정판)",문병로 ,,2018-01-20,9791156643753
"자바스크립트 웹 애플리케이션 : 제이쿼리, Node.js, 웹소켓, 스파인, 백본, 자바스크립트MVC",알렉스 맥카우 ,우정은 ,2012-06-18,9788979149258
"IT CookBook, 쉽게 배우는 자료구조 with 자바",문병로 ,,2022-01-16,9791156645764
"IT CookBook, PHP 프로그래밍 입문(개정판)",황재호 ,,2013-05-28,9788998756208
"Modern PHP: 네임스페이스, 트레이트, 클로저부터 모범 사례와 최신 도구까지",조시 록하트 ,정병열 ,2015-10-15,9788968482250
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV1. 모두를 위한 파이썬 기초",크리스 로피 ,유형목 ,2015-08-26,9788968482168
"IT CookBook, 쉬운 영어로 읽는 최신 전산 영어(개정판)",조준모 ,,2013-03-20,9788998756178
혼자 공부하는 자바,신용권 ,,2019-06-10,9791162241875
"(10대를 위한 프로그래밍 노트, 수프) 앱 인벤터: 나만의 앱 만들기! 구글과 MIT 기술로 배우는 컴퓨팅 사고력",김종훈 ,,2016-01-14,9788968482342
"인사이드 자바스크립트 : 핵심 개념과 원리를 정확하게. jQuery, Node.js, 클로저의 개념까지","송형주 , 고현준 ",,2014-01-02,9788968480652
Head First HTML5 Programming: 웹 표준으로 만드는 생동감 있는 웹 애플리케이션,"에릭 프리먼 , 엘리자베스 롭슨 ",홍형경 ,2012-07-28,9788979149326
상하이 비즈니스 산책,김명신 ,,2014-07-25,9788994120867
"IT CookBook, C로 배우는 쉬운 자료구조(개정3판)",이지영 ,,2016-07-28,9791156642695
전문가를 위한 C++ : C++ 11을 대하는 유쾌한 방법(개정판 2권),"마크 그레고리 , 니콜라스 솔터 , 스캇 클레퍼 ",권오인 ,2013-10-17,9788968480393
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV2. 본격 파이썬 입문",크리스 로피 ,"이지호 , 유형목 ",2015-08-26,9788968482175
"IT CookBook, C C++로 배우는 자료구조론",주우석 ,,2015-02-24,9791156641780
Head First JavaScript : 대화형 웹 애플리케이션의 시작,마이클 모리슨 ,홍형경 ,2008-07-01,9788979145823
클라이언트-서버 웹 앱 만들기: 자바와 자바스크립트로 배우는 모던 웹 앱 개발,캐지미어 새터노스 ,김은정 ,2014-10-17,9788968481345
파이썬으로 배우는 프로그래밍 기초,크리스 로피 ,"유형목 , 이지호 ",2016-08-18,9788968484940
Hello Coding HTML5+CSS3,황재호 ,,2018-03-02,9791162240502
"IT CookBook, HTML & CSS for Beginner",황재호 ,,2016-11-10,9791156642794
PHP 보안: 몇 줄의 코드로 안전하게,크리스 쉬플릿 ,한동훈 ,2006-03-07,8979143877
프로젝트로 배우는 HTML5+자바스크립트,지닌 마이어 ,김지원 ,2012-06-22,9788979149241
전문가를 위한 C++ : C++ 11을 대하는 유쾌한 방법(개정판 1권),"마크 그레고리 , 니콜라스 솔터 , 스캇 클레퍼 ",권오인 ,2013-10-17,9788968480386
Head First HTML and CSS(개정판) : HTML5를 적용한 웹 제작 지침서,"엘리자베스 롭슨 , 에릭 프리먼 ","홍형경 , 우재남 ",2013-04-11,9788968480126
알고리즘 문제 풀이 전략,"조중필 , 한현상 , 이주호 ",,2016-06-01,9788968482700
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV4. 파이썬 프로그래밍 아트",크리스 로피 ,유형목 ,2016-09-28,9788968484797
Vue.js 첫걸음,이지호 ,,2018-04-02,9791162240618
"하이브리드 앱을 구현하는 기술 : HTML5, 자바스크립트, 코도바(폰갭)로 만드는 안드로이드와 iOS 앱 개발","구보타 미츠노리 , 아시알 주식회사 ",김성재 ,2015-02-17,9788968481680
"IT CookBook, C로 배우는 쉬운 자료구조(4판)",이지영 ,,2021-06-30,9791156645412
사전처럼 바로 찾아 쓰는 HTML5 핵심 API,하타노 후토미 ,윤준 ,2011-12-01,9788979148732
PHP & MySQL 닌자 비법서,"톰 버틀러 Tom Butler , 케빈 양크 Kevin Yank ","김재영 , 정병열 ",2019-02-01,9791162241455
인터랙티브 웹디자인북: 웹디자이너를 위한 HTML5+CSS3+jQuery 사용설명서,최성일 ,,2015-04-27,9788968481895
HTML5+CSS3 정복 : 실습 위주의 친절한 HTML5 자습서,김상형 ,,2014-09-28,9788968481277
"IT CookBook, C로 배우는 쉬운 자료구조(개정판)",이지영 ,,2013-07-28,9788998756383
함수형 자바스크립트 : 새롭고 올바른 자바스크립트 프로그래밍 기법,마이클 포거스 ,우정은 ,2014-01-28,9788968480799
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV3. 제대로 된 파이썬 앱 만들기",크리스 로피 ,"이지호 , 유형목 ",2015-11-06,9788968482335
